Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
998	2M-6E	Fila 3	MaM  69	F	F1	Manuales	Handbook on the estimation of metallurgical process costs second edition	RUHMER, W.T.	Ingles	Manuales - metodología	Sudafrica	MINTEK	1991	segunda	1	Bueno	
999	2M-6E	Fila 3	MaM  72	F	F2	Manuales	Petroleum Processing Handbook	BLAND, W., DAVIDSON, R.	español	Manuales - metodología	EEUU	McGraw-Hill	1967	Primera	1	Bueno	
1000	2M-6E	Fila 3	MaM  73	F	F2	Manuales	SME Mineral Engineering Handbook Vol 1	CUMMINS, A., GIVEN, I.	Ingles	Manuales - metodología	New York-EEUU	The American Institute of Mining, Metallurgical and Petroleum	1973	Primera	1	Malo	
1001	2M-6E	Fila 3	MaM  74	F	F2	Manuales	SME Mineral Engineering Handbook Vol 2	CUMMINS, A., GIVEN, I.	Ingles	Manuales - metodología	New York-EEUU	The American Institute of Mining, Metallurgical and Petroleum	1973	Primera	1	Malo	
1002	2M-6E	Fila 3	MaM  75	F	F2	Manuales	Gold and silver handbook (8 tomos)	IVOSEVIC, S.W.	Ingles	Manuales - metodología	Colorado-EEUU	S/E	1984	Primera	1	Bueno	8 Fascículos
1003	2M-6E	Fila 4	MaM  76	F	F2	Manuales	Practical petroleum engineers´ Handbook 5ta. Edition	ZABA, J., DOHERTY, W.T.	Ingles	Manuales - metodología	Texas-EEUU	Gulf Publishing Company	1970	Quinta	2	Bueno	
1004	2M-6E	Fila 4	MaM  77	F	F2	Manuales	Petroleum exploration Handbook	MOODY, G.	Ingles	Manuales - metodología	EEUU	McGraw-Hill	1961	Primera	1	Bueno	
1005	2M-6E	Fila 4	MaM  78	F	F2	Manuales	Mathematical Handbook for Scientists and Engineers 	KORN, G., KORN, T.	Ingles	Manuales - metodología	EEUU	McGraw-Hill	1968	segunda	1	Bueno	
1006	2M-6E	Fila 4	MaM  79	F	F2	Manuales	Handbook of epoxy resins	LEE, H., NEVILLE, K.	Ingles	Manuales - metodología	EEUU	McGraw-Hill	1967	Primera	1	Bueno	
1007	2M-6E	Fila 4	MaM  80	F	F2	Manuales	Facilities and plant Engineering Handbook	LEWIS, B., MARRON, J.	Ingles	Manuales - metodología	EEUU	McGraw-Hill	1973	Primera	1	Bueno	
1008	2M-6E	Fila 4	MaM  81	F	F2	Manuales	Manual de Lixiviación ácido bacteriana	Junta del Acuerdo de Cartagena	español	Manuales - metodología	Lima-Perú	Junta del acuerdo de Cartagena	1989	Primera	1	Bueno	
1009	2M-6E	Fila 4	MaM  82	F	F2	Manuales	Manual de comercialización del Zinc	Junta del Acuerdo de Cartagena	español	Manuales - metodología	Lima-Perú	Junta del acuerdo de Cartagena	1988	Primera	1	Bueno	
1010	2M-6E	Fila 4	MaM  83	F	F2	Manuales	Manual de comercialización del Cobre	Junta del Acuerdo de Cartagena	Español	Manuales - metodología	Lima-Perú	Junta del acuerdo de Cartagena	1988	Primera	1	Bueno	
1011	2M-6E	Fila 4	MaM  84	F	F2	Manuales	Manual de comercialización de la Plata	Junta del Acuerdo de Cartagena	Español	Manuales - metodología	Lima-Perú	Junta del acuerdo de Cartagena	1989	Primera	1	Bueno	
1012	2M-6E	Fila 4	MaM  85	F	F2	Manuales	Manual de evaluación impacto ambiental 	CANTER, L.W.	Español	Manuales - metodología	Colombia	McGraw-Hill	1998	Primera	1	Bueno	
1013	2M-6E	Fila 4	MaM  86	F	F2	Manuales	Manual de estabilización y revegetación de taludes	LOPEZ, C.	Español	Manuales - metodología	Madrid-España	S/E	2002	Primera	1	Bueno	
1014	2M-6E	Fila 4	MaM  87	F	F2	Manuales	Manual para la evaluación geológica técnica de recursos minerales de construcción	LORENZ, W., GWOSDZ, W.	Español	Manuales - metodología	Hannover-Alemania	Schweizerbart´sche Verlagsbuchhandlung	2004	Primera	2	Bueno	
1015	2M-6E	Fila 4	MaM  88	F	F2	Manuales	Manual de usuario sistema de información minera. Módulo proyectos	Dirección Nacional de Geología	Español	Manuales - metodología	Ecuador	PRODEMINCA	2000	Primera	1	Bueno	
1016	2M-6E	Fila 4	MaM  89	F	F2	Manuales	Manual técnico, sistema de información minera SIM	Dirección Nacional de Geología	Español	Manuales - metodología	Ecuador	PRODEMINCA	2000	Primera	1	Bueno	
1017	2M-6E	Fila 4	MaM  90	F	F2	Manuales	Manuales del SIGEM	Dirección Nacional de Geología	Español	Manuales - metodología	Ecuador	PRODEMINCA	2000	Primera	1	Bueno	
1018	2M-6E	Fila 4	MaM  91	F	F2	Manuales	Implementación del nuevo modeloinstitucional	Direcciones Regionales y Unidad de Soporte al Sistema de Información Minera	Español	Manuales - metodología	Quito-Ecuador	International Institutional Consulting S.L	1999	Primera	1	Bueno	
1019	2M-6E	Fila 4	MaM  92	F	F2	Manuales	Manual de procedimientos y catálogo de funciones para la subsecretaría de minas con base en el nuevo modelo institucional	PRODEMINCA	Español	Manuales - metodología	Quito-Ecuador	PRODEMINCA	1999	Primera	1	Bueno	
1020	2M-6E	Fila 4	MaM  93	F	F2	Manuales	Manual el usuario de geomedia profesional	INTERGRAPH	Español	Manuales - metodología	Canadá	Intergraph Corporation	1998	Primera	1	Bueno	
1021	2M-6E	Fila 4	MaM  94	F	F2	Manuales	Manual de derecho económico 1	SANTAR, M.	Español	Manuales - metodología	Santiago-Chile	ENCINA LTDA	1972	Primera	1	Malo	
1022	2M-6E	Fila 4	MaM  95	F	F2	Manuales	Manual de derecho económico 2	SANTAR, M.	Español	Manuales - metodología	Santiago-Chile	ENCINA LTDA	1972	Primera	1	Malo	
1023	2M-6E	Fila 4	MaM  96	F	F2	Manuales	Handbook for mineral and coal exploration in britiddh Columbia	WORKING FIELD GUIDE	Ingles	Manuales - metodología	N/A	S/E	2009	Primera	1	Bueno	
1024	2M-6E	Fila 4	MaM  97	F	F2	Manuales	Minpet Help Contents	S/A	ingles	Manual	N/A	S/E	s/f	Primera	1	Bueno	
1025	2M-6E	Fila 5	SR 01	F	F2	Sensores remotos	Sensores Remotos	Dirección Nacional de Geología y Minas	Español	Libro	N/A	S/E	s/f	Primera	1	Malo	
